name,ranking,earnings,wiki_views,instagram
Aryna Sabalenka,1,49026518,124336,5100000
Elena Rybakina,2,28401509,80049,882000
Iga Świątek,3,44127390,55916,2300000
Coco Gauff,4,31075211,58465,2300000
Jessica Pegula,5,24198338,58043,357000
Amanda Anisimova,6,13302982,15521,491000
Mirra Andreeva,7,9327981,68829,525000
Jasmine Paolini,8,15315441,19388,697000
Victoria Mboko,9,2911983,12928,162000
Elina Svitolina,10,27504746,25904,1700000
Karolina Muchova,11,11482721,22460,222000
Belinda Bencic,12,15837958,17340,442000
Linda Noskova,13,4560619,15149,45200
Ekaterina Alexandrova,14,9841783,6332,46300
Marta Kostyuk,15,8251260,44068,543000
Naomi Osaka,16,24773332,44825,2900000
Iva Jovic,17,1992256,67374,225000
Clara Tauson,18,4428350,3302,51400
Madison Keys,19,23287555,38948,353000
Diana Shnaider,20,4774839,20461,32300
